OrganizationIdentifier,OrganizationFormalName,ProjectIdentifier,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
11NPSWRD_WQX,National Park Service Water Resources Division,SFAN_I&M,SFAN Long-Term Water Quality Monitoring Program,"Implementation of this monitoring protocol will provide park management with the data necessary to make effective decisions to ameliorate poor water quality and maintain good water quality of SFAN water bodies.  There are four objectives of the SFAN water quality monitoring program including the following:    Determine variability and long term trends in water quality through monthly summaries of select parameters (temperature, pH, conductivity, dissolved oxygen, total nitrogen, nitrate, ammonia, flow, fecal and total coliforms), at selected sites in priority freshwater sites.     Determine the existing ranges and diurnal variability of water temperature, pH, conductivity, and dissolved oxygen at selected sites in priority streams within SFAN.    Note: All data in this project are collected during routine site visits (regardless of 'Hydrologic event' code). Any data collected during targeted site visits (targeted storms, ""first flush"", etc) are entered into the SFAN_I&M_EXTRA project.    Determine the extent that priority streams within SFAN meet federal and state water quality criteria for fecal indicator bacteria, un-ionized ammonia, dissolved oxygen, and pH through monthly sampling.    Determine the annual, seasonal, and 30-day mean fecal coliform load to Tomales Bay (an impaired water body) from Olema Creek as required by the San Francisco Bay Regional Water Quality Control Board's Tomales Bay Pathogen TMDL Program.",,N,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/projects/SFAN_I%26M/files,
CEDEN,California State Water Resources Control Board,WES_Sep08-Feb09,"WES Order R5-2008-0005, Jun 15th 2009, Sep08-Feb09","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, June 15th 2009 Submittal , Semi Annual, Sample Dates Sep08-Feb09",,,,,
CEDEN,California State Water Resources Control Board,SJC_AY11,"SJC, Order R5-2008-0005, Mar 1st 2012, AY11","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, March 1st 2012 Submittal, Annual Year 2011, Sampling Dates Jan-Dec 2011",,,,,
CEDEN,California State Water Resources Control Board,RWB2_RMC_2012,RWB2 Regional Monitoring Coalition Reference 2012,10 non-urban probabilistic sites (perennial and non-perennial),,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB5_CyanoBac_FY1011,RWB5 Clear Lake and Delta Cyanobacteria FY1011,RWB5 Harmful cyanobacteria blooms and their toxins in Clear Lake and the Delta,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,13STLS2RMP,STLS Monitoring RMP WY2013,Small Tributaries Loading Strategy Monitoring RMP WY2013,,,,,
CEDEN,California State Water Resources Control Board,13RMP2ST,2013 RMP Status and Trends,2013 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,BASMAA_RMC_FY2014,BASMAA Regional Monitoring Coalition FY 2014,Monitoring,,,,,
CEDEN,California State Water Resources Control Board,WES_ Sep09-Feb10,"WES, Order R5-2008-0005, Jun 15th 2010, Sep09-Feb1","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, June 15th 2010 Submittal, Semi Annual, Sample Dates Sep09-Feb10",,,,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2015_Q1,RWB 3 Cooperative Monitoring Program 2015 Q1,Regional Water Board 3 Cooperative Monitoring Program 2015 First Quarter Jan-March,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2009,Statewide Perennial Streams Assessment 2009,Perennial Streams Assessment (PSA) 2009,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB2_UrS_2008,RWB2 Urbanization Study 2008,RWB2 Urbanization Study 2008,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SWB_CMAP_2006,CMAP Wadeable Streams 2006,California Monitoring and Assessment Program (CMAP) Wadeable Streams sampling conducted in the year 2006,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,EMAP_2003_WS,EMAP Wadeable Streams 2003,EMAP Wadeable Streams sampling conducted in the year 2003,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,WES_Mar11-Aug11,"WES Order R5-2008-0005, Nov 30th 2011, Mar11-Aug11","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, November 30th 2011 Submittal , Semi Annual, Sample Dates Mar11-Aug11",,,,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2015_Q2,RWB 3 Cooperative Monitoring Program 2015 Q2,Regional Water Board 3 Cooperative Monitoring Program 2015 Second Quarter April-June,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,CCCWP_CSM_WY2016,CCCWP Creek Status Monitoring in WY2016,Contra Costa County Clean Water Program Creek Status Monitoring in WY2016,,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WSA2006,EPA NARS WSA2006 National Scale,The Wadeable Streams Assessment (WSA) provides the first statistically defensible summary of the condition of the nation's streams and small rivers. For complete details see EPA publication EPA841-B-06-002; December 2006; www.epa.gov/owow/streamsurvey,"Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method, you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.",Y,EPA OW and ORD,,https://www.waterqualitydata.us/data/providers/STORET/organizations/NARS_WQX/projects/NARS_WSA2006/projectMonitoringLocationWeightings
CEDEN,California State Water Resources Control Board,18GSPPA,2018 Green Street Pilot  - Park Ave,2018 Green Street Pilot Performance Evaluation - Park Ave,,,,,
CEDEN,California State Water Resources Control Board,RWB2_StevensCr_2016,RWB2 Stevens Creek Toxicity sampling,RWB2 Stevens Creek Toxicity sampling,,,,,
CEDEN,California State Water Resources Control Board,SWB_FishLk_2017,SWB Long-Term Monitoring of Bass Lk_Res 2017,Statewide Long-Term Monitoring of Bass Lakes and Reservoirs 2016,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_PT_WY2016,SCVURPPP Pesticides Toxicity Monitoring in WY2016,Santa Clara Valley Urban Runoff Pollution Prevention Program Pesticides and Toxicity Monitoring in WY2016,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2018,ACCWP Creek Status Monitoring in WY2018,ACCWP Creek Status Monitoring in WY2018,,,,,
CEDEN,California State Water Resources Control Board,SCVWD_Hg,SCVWD Mercury Studies,SCVWD Mercury Program Monitoring,,,,,
CEDEN,California State Water Resources Control Board,RWB2_ALP_2019,RWB2 Arroyo Las Positas Nutrient Study 2019,RWB2 Arroyo Las Positas Nutrient Monitoring Study 2019,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_POC_WY2018,ACCWP Pollutants of Concern Monitoring in WY2018,ACCWP Pollutants of Concern Monitoring in WY2018,,,,,
CALWR_WQX,California Department Of Water Resources,1133,Warne Pumping Plant 12 Month Study,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,2,Not Specified,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,8,Not Specified,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,12,Not Specified,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,18,Not Specified,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,20,Not Specified,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,27,Not Specified,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1001,MWQI,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1061,RS Chlorides,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1155,NRO Groundwater Monitoring Wells,These are dedicated monitoring wells in the North Sacramento Valley,,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_NLA2007_ECOREGION_XER,EPA NARS NLA2007 EcoRegion - Xeric,Subset project group for a multi-year assessment of lakes and reservoirs in the U.S. with 461 candidate lake sites and 93 sampled lake sites.,"Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method, you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.",Y,EPA OW and ORD,,https://www.waterqualitydata.us/data/providers/STORET/organizations/NARS_WQX/projects/NARS_NLA2007_ECOREGION_XER/projectMonitoringLocationWeightings
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_NLA2007,EPA NARS National Lakes Assessment 2007,Overall project group for a multi-year assessment of lakes and reservoirs in the U.S. with 5169 candidate lake sites and 1247 sampled lake sites.,"Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method, you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.",Y,EPA OW and ORD,,https://www.waterqualitydata.us/data/providers/STORET/organizations/NARS_WQX/projects/NARS_NLA2007/projectMonitoringLocationWeightings
CALWR_WQX,California Department Of Water Resources,1089,2004 Upper Jones Levee Break,Not Specified,,,,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2018,Statewide Perennial Streams Assessment 2018,Perennial Streams Assessment (PSA) 2018,,,,,
11NPSWRD_WQX,National Park Service Water Resources Division,EPABEACH,Project EPABEACH (system generated),National EPA Beach Program (system generated),,,,,
CEDEN,California State Water Resources Control Board,SWB_RCMP_2018,Statewide Ref Condition Management Plan 2018,Reference Condition Management Plan (RCMP) 2018,,,,,
CEDEN,California State Water Resources Control Board,93RMP2ST,1993 RMP Status and Trends,1993 Regional Monitoring Project Status and Trends,,,RMP QAPP 1999,,
CEDEN,California State Water Resources Control Board,SDGS_1-29,South Decoto Green Street,South Decoto Green Street LID,,,,,
11NPSWRD_WQX,National Park Service Water Resources Division,SFAN_WQ,SFAN Pilot Monitoring for Freshwater Quality Protocol,"The purpose of this monitoring was to assist with selection of priority sites for the long-term monitoring plan and to determine the feasibility (logistics, access) of monitoring throughout the network.  Baseline data was obtained from some previously unsampled streams.  Also, monitoring of previously sampled sites will ensure some level of continuity in our data set.",,N,,https://www.waterqualitydata.us/data/providers/STORET/organizations/11NPSWRD_WQX/projects/SFAN_WQ/files,
CALWR_WQX,California Department Of Water Resources,1129,DSM2 Boundary Improvement,Not Specified,,,,,
CEDEN,California State Water Resources Control Board,RWB2_SuBay_2011,RWB2 Suisun Bay Monitoring Study 2011,Suisun Bay Monitoring  2011,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB2_UrS_2009,RWB2 Urbanization Study 2009,RWB2 Urbanization Study 2009,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2010,Statewide Perennial Streams Assessment 2010,Perennial Streams Assessment (PSA) 2010,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2012_CWQ3,CCAMP Coastal Confluences 2012 CWQ3,CCAMP Coastal Confluences 2012 Conventional Water Quality Third Quarter July-Sept,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2013_CWQ1,CCAMP Coastal Confluences 2013 CWQ1,CCAMP Coastal Confluences 2013 Conventional Water Quality First Quarter Jan -March,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,14GSP2MGGA,2014 Green Street Pilot Project - Martha Gardens,2014 Green Street Pilot Project - Martha Gardens Green Alleys,,,,,
CEDEN,California State Water Resources Control Board,13GSP2MGGA,2013 Green Street Pilot Project - Martha Gardens,2013 Green Street Pilot Project - Martha Gardens Green Alleys,,,,,
CEDEN,California State Water Resources Control Board,16GSP2MGGA,2016 Green Street Pilot Project - Martha Gardens,2016 Green Street Pilot Project - Martha Gardens Green Alleys,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2012_CWQ4,CCAMP Coastal Confluences 2012 CWQ4,CCAMP Coastal Confluences 2012 Conventional Water Quality Fourth Quarter Oct-Dec,,,Not Recorded,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_NCCA2010,National Coastal Condition Assessment,National Aquatic Resource Surveys (NARS) 2010 National Coastal Condition Assessment (NCCA),,,,,
CEDEN,California State Water Resources Control Board,ESJ_Historical,"ESJ, Order R5-2003-0105, R5-2005-0833, 2004-2008","East San Joaquin Water Quality Coalition Monitoring Under ILRP Order R5-2003-0826, R5-2006-0053, Sampling Dates Jul04-Sep08",,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2015_CWQ2,CCAMP Coastal Confluences 2015 CWQ2,CCAMP Coastal Confluences 2015 Conventional Water Quality Second Quarter April-June,,,,,
CEDEN,California State Water Resources Control Board,SWB_RCMP_2009,Statewide Ref Condition Management Plan 2009,Reference Condition Management Plan (RCMP) 2009,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2014_CWQ4,CCAMP Coastal Confluences 2014 CWQ4,CCAMP Coastal Confluences 2014 Conventional Water Quality Fourth Quarter Oct-Dec,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB2_Status_Yr3,"RWB2 Yr3 Peta Riv, Smateo & Contra Costa Co Creeks","RWB2 StatusYr3 Petaluma River, San Mateo and Contra Costa County Creeks",,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2013,Statewide Perennial Streams Assessment 2013,Perennial Streams Assessment (PSA) 2013,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_Pajaro_2006,CCAMP Pajaro and Santa Cruz Area Rotation_2006,CCAMP Pajaro and Santa Cruz Area Rotation_2006,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SJC_WY14_Q3,"SJC, Order R5-2014-0029, Dec 1st 2014, WY14, Q3","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, December 1st 2014 Submittal, Water Year 2014, Quarter 3, Sampling Dates Apr-Jun 2014",,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2013_CWQ3,CCAMP Coastal Confluences 2013 CWQ3,CCAMP Coastal Confluences 2013 Conventional Water Quality Third Quarter July-Sept,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2011,Statewide Perennial Streams Assessment 2011,Perennial Streams Assessment (PSA) 2011,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,99RMP2ST,1999 RMP Status and Trends,1999 Regional Monitoring Project Status and Trends,,,RMP QAPP 1999,,
CEDEN,California State Water Resources Control Board,SJC_Historical,"SJC, Order R5-2003-0105, R5-2005-0833, 2004-2008","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2003-0826, R5-2006-0053, Sampling Dates Aug04-Sep08",,,,,
CEDEN,California State Water Resources Control Board,SWB_RCMP_2010,Statewide Ref Condition Management Plan 2010,Reference Condition Management Plan (RCMP) 2010,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2015_CWQ3,CCAMP Coastal Confluences 2015 CWQ3,CCAMP Coastal Confluences 2015 Conventional Water Quality Third Quarter July-Sept,,,SWAMP QAPrP 2008_QAPrPTableReference 2013_amended,,
CEDEN,California State Water Resources Control Board,14RMP2ST,2014 RMP Status and Trends,2014 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,02RMP2ST,2002 RMP Status and Trends,2002 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,SMCARM_2012,San Mateo Creek Aquatic Resource Monitoring - 2012,San Mateo Creek Aquatic Resource Monitoring - 2012,,,,,
CEDEN,California State Water Resources Control Board,SMCARM_2014,San Mateo Creek Aquatic Resource Monitoring - 2014,San Mateo Creek Aquatic Resource Monitoring - 2014,,,,,
CEDEN,California State Water Resources Control Board,SMCARM_2015,San Mateo Creek Aquatic Resource Monitoring - 2015,San Mateo Creek Aquatic Resource Monitoring - 2015,,,,,
CEDEN,California State Water Resources Control Board,SMCARM_2011,San Mateo Creek Aquatic Resource Monitoring - 2011,San Mateo Creek Aquatic Resource Monitoring - 2011,,,,,
CEDEN,California State Water Resources Control Board,SMCARM_2013,San Mateo Creek Aquatic Resource Monitoring - 2013,San Mateo Creek Aquatic Resource Monitoring - 2013,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_P&T_WY2019,SMCWPPP Pesticides and Toxicity Monitoring WY2019,SMCWPPP Pesticides and Toxicity Monitoring in WY2019,,,,,
CEDEN,California State Water Resources Control Board,ACARM_2014,Alameda Creek Aquatic Resource Monitoring 2014,Alameda Creek Aquatic Resource Monitoring 2014,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2015_CWQ4,CCAMP Coastal Confluences 2015 CWQ4,CCAMP Coastal Confluences 2015 Conventional Water Quality Fourth Quarter Oct-Dec,,,,,
CEDEN,California State Water Resources Control Board,05RMP2WP,2000 RMP Winter Pilot Study,2005 RMP Winter Pilot Study,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2016_CWQ2,CCAMP Coastal Confluences 2016 CWQ2,CCAMP Coastal Confluences 2016 Conventional Water Quality Second Quarter April-June,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_CSM_WY2014,SMCWPPP Creek Status Monitoring in WY2014,San Mateo Countyside Water Pollution Prevention Program Creek Status Monitoring in WY2014,,,,,
CEDEN,California State Water Resources Control Board,SJC_AY13,"SJC, Order R5-2008-0005, Mar 1st 2014, AY13","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, March 1st 2014 Submittal, Annual Year 2013, Sampling Dates Jan-Dec 2013",,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_CSM_WY2015,SMCWPPP Creek Status Monitoring in WY2015,San Mateo Countyside Water Pollution Prevention Program Creek Status Monitoring in WY2015,,,,,
CEDEN,California State Water Resources Control Board,04RMP2ST,2004 RMP Status and Trends,2004 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,ACARM_2011,Alameda Creek Aquatic Resource Monitoring 2011,Alameda Creek Aquatic Resource Monitoring 2011,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_CSM_WY2014,SCVURPPP Creek Status Monitoring in WY2014,Santa Clara Valley Urban Runoff Pollution Prevention Program Creek Status Monitoring in WY2014,,,,,
CEDEN,California State Water Resources Control Board,13STLS2SCVURPPP,STLS Monitoring Santa Clara Valley URPPP WY2013,Small Tributaries Loading Strategy Monitoring Santa Clara Valley Urban Runoff Pollution Prevention Program WY2013,,,,,
CALWR_WQX,California Department Of Water Resources,1063,FERC Relicensing,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1064,Fluorometer Calibration,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1065,DES Special Studies,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1070,EMP Monitoring,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1071,South Delta Temporary Barriers,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1046,Ag Drains,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1002,REAL TIME TOC,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1008,G.W. MON. PROG.,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1016,UVA Study Phase1,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1097,Discrete WQ,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1111,Real Time IonChroma QC,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1130,South Bay,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1142,MWQI-Fluorometer Study,Not Specified,,,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0016,Richmond Transport Facilities Construction Project-1997,"Data were collected by Orion Environmental Associates and City of San Francisco personnel to monitor the water quality of Lobos Creek during construction of a 10,200 foot long wastewater tunnel.  The results of the monitoring are presented in ""Richmond Transport Facilities Construction Project, Environmental Compliance Monitoring Summary Report, Final Report, January 1994-December 1996"" by Orion Environmental Associates for the City and County of San Francisco, Department of Public Works, March 1997.",,N,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0018,Lobos Creek Sewer Failure Damage Assessment Report - 1996,"Data are from the report entitled ""Lobos Creek Sewer Failure Damage Assessment Report"" by Judy Bendix, Mike Podlech, David Suddjian, and Michael Wood with Sycamore Associates LLC and Rob Schanz with Philip Williams and Associates (prepared for the City of San Francisco and Golden Gate National Recreation Area, October 1996).",,N,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0003,City/County of San Francisco Ocean and Shoreline Monitoring,"Data are from the City and County of San Francisco (CCSF) Public Works Department Ocean Outfall Monitoring Program and its successor, the Southwest Ocean Outfall Regional Monitoring Program associated with the CCSF Public Utilities Commission.  The 1986-1999 monitoring period was designed to detect environmental impacts related to the discharge of treated sewer effluent from public wastewater treatment plants and the Southwest Ocean Outfall.  Water samples were collected at beach and offshore monitoring sites.  The programs also reported results from marine sediment, benthic infauna, and fish and epibenthic invertebrates samples.  Only water media results within or near Golden Gate National Recreation Area were formatted by the National Park Service for upload to STORET.",,N,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0004,Presidio Storm Water Management Plan by NPS - 1994,"Data are from the report entitled ""Presidio of San Francisco Storm Water Management Plan"" (prepared for the National Park Service, October 1994).  All samples were analyzed by Dames and Moore, 3700 Lakeville Highway, Petaluma, California 94954.",,N,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0007,Mountain Lake Monitoring Report November 1993-October 1994,"Data are from the report entitled ""Mountain Lake Monitoring Report November 1993-October 1994"" by C.M. Codemo, A. Miller, M. Podlech, R.J. Brown, and W.P. Jordan (Institute of Chemical Biology-University of San Francisco, February 1994).",,N,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0009,Lobos Creek Monitoring Report June 1995-November 1995,"Data are from the final report entitled ""Lobos Creek Monitoring Report June 1995-November 1995"" by C.M. Codemo, A. Miller, R.J. Brown, and W.P. Jordan (Institute of Chemical Biology-University of San Francisco, May 1996).  Measurements of basic water quality characteristics were made in the field.  Chemical analyses were done in the lab.  Elemental analyses were performed on June 29, 1995 and October 30, 1995.",,N,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0012,Rodeo Valley/Tennessee Valley/Redwood Cr. WQ Report-1996-97,"Data are from the report entitled ""Rodeo Valley/Tennessee Valley/Redwood Creek Water Quality Monitoring Report October 1996-March 1997"" by P.S. Leach, M. Podlech, and R.J. Brown (Institute of Chemical Biology-University of San Francisco, June 1997).",,N,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0021,San Francisco Drinking Water Reservoir WQ Monitoring,"Data were collected by the City and County of San Francisco, Public Utilities Commission, Water Quality Bureau (San Francisco Water District) as part of their regular monitoring program of drinking water reservoirs.",,N,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0022,Mountain Lake Water Quality Report 1996/1997,"Data are from the report entitled ""Mountain Lake Water Quality Report 1996/1997"" by Marc Beutel (U.C. Berkeley Environmental Engineering Program, Engineering Ecology Group, November 1997).  Samples were analyzed by Legend Analytical Service, 3636 N. Laughlin Road, Suite 110, Santa Rosa, CA 95403.",,N,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_CSM_WY2013,SMCWPPP Creek Status Monitoring in WY2013,San Mateo Countyside Water Pollution Prevention Program Creek Status Monitoring in WY2013,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_P&T_WY2020,SCVURPPP Pesticides and Toxicity Monitoring WY2020,SCVURPPP Pesticides and Toxicity Monitoring WY2020,,,,,
CEDEN,California State Water Resources Control Board,WES_Mar20-Aug20,"WES Order R5-2014-0002, Nov 30th 2020, Mar20-Aug20","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2020 Submittal , Semi Annual, Sample Dates Mar20-Aug20",,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2019,CCAMP Coastal Confluence 2019,CCAMP Coastal Confluence 2019,,,,,
11NPSWRD_WQX,National Park Service Water Resources Division,PRSF_WQ,Presidio Trust Water Quality Monitoring,"To determine the long-term trends in water temperature, pH, conductivity, dissolved oxygen, water clarity, fecal and total coliforms, nitrate, orthophosphate, ammonia, and total nitrogen and compare these trends to established criteria or thresholds.    To establish a baseline for pesticides, metals, and other toxics at selected sites.    To determine the existing ranges and diurnal variability of water temperature, pH, conductivity, and dissolved oxygen at one site in each water body.    To determine the extent that Presidio streams and Mountain Lake meet federal and state water quality criteria for fecal indicator bacteria, un-ionized ammonia, dissolved oxygen, pH, and toxic pollutants.    To identify the point and non-point pollution sources within Presidio watersheds.    To determine whether best management practices are reducing pollution loads into water bodies (streams, lakes, and wetlands).",,N,,,
CEDEN,California State Water Resources Control Board,3CREEKS,Three Creeks Restoration,Three Creeks Restoration - various grant programs,,,,,
CEDEN,California State Water Resources Control Board,RWB2_TMDL_SMCoCoast_2019,RWB2 San Mateo Coastal Pathogen TMDL Study 2019,RWB2 San Mateo Coastal Pathogen TMDL Study 2019,,,,,
CEDEN,California State Water Resources Control Board,RWB2_StevensCr_2018,RWB2 Stevens Creek Toxicity sampling 2018,RWB2 Stevens Creek Toxicity sampling 2018,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2017_CWQ3,CCAMP Coastal Confluences 2017 CWQ3,CCAMP Coastal Confluences 2016 Conventional Water Quality Third Quarter July-Sept,,,,,
CEDEN,California State Water Resources Control Board,SJC_WY14_Q2,"SJC, Order R5-2014-0029, Sep 1st 2014, WY14, Q2","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, September 1st 2014 Submittal, Water Year 2014, Quarter 2, Sampling Dates Jan-Mar 2014",,,,,
CEDEN,California State Water Resources Control Board,ACARM_2015,Alameda Creek Aquatic Resource Monitoring 2015,Alameda Creek Aquatic Resource Monitoring 2015,,,,,
CEDEN,California State Water Resources Control Board,ACARM_2018,Alameda Creek Aquatic Resource Monitoring 2018,Alameda Creek Aquatic Resource Monitoring 2018,,,,,
CEDEN,California State Water Resources Control Board,15GSP2MGGA,2015 Green Street Pilot Project - Martha Gardens,2015 Green Street Pilot Project - Martha Gardens Green Alleys,,,,,
CEDEN,California State Water Resources Control Board,RWB2_WadeableStreams_2018,RWB2 WadStr2018 Livemore Valley Coastal San Mateo,"Targeted BA in Livermore Valley, Pilarcitos Creek, San Gregorio Creek, Pescadero Creek and Butano Creek watersheds",,,,,
CEDEN,California State Water Resources Control Board,SMCARM_2016,San Mateo Creek Aquatic Resource Monitoring - 2016,San Mateo Creek Aquatic Resource Monitoring - 2016,,,,,
CEDEN,California State Water Resources Control Board,RWB2_TMDL_SMCoCoast_2018,RWB2 San Mateo Coastal Pathogen TMDL Study 2018,RWB2 San Mateo Coastal Pathogen TMDL Study 2018,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_CSM_WY2018,SMCWPPP Creek Status Monitoring in WY2018,SMCWPPP Creek Status Monitoring in WY2018,,,,,
CEDEN,California State Water Resources Control Board,11RMP2ST,2011 RMP Status and Trends,2011 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,SJC_AY09,"SJC, Order R5-2008-0005, Mar 1st 2010, AY09","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, March 1st 2010 Submittal, Annual Year 2009, Sampling Dates Oct08-Dec09",,,,,
CEDEN,California State Water Resources Control Board,WES_Mar09-Aug09,"WES Order R5-2008-0005, Nov 30th 2009, Mar09-Aug09","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, November 30th 2009 Submittal, Semi Annual, Sample Dates Mar09-Aug09",,,,,
CEDEN,California State Water Resources Control Board,SWB_CMAP_2007,CMAP Wadeable Streams 2007,California Monitoring and Assessment Program (CMAP) Wadeable Streams sampling conducted in the year 2007,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,06RMP2ST,2006 RMP Status and Trends,2006 Regional Monitoring Project Status and Trends,,,,,
